"ID";"Tipo";"Estado";"Data da solicitação";"Software/componente";"Assunto";"Autor";"Idade";"Data do fechamento"
"BUG-6048";"Falha/erro";"OFF";"13/11/2012";"School (web)";"Renderizar informações de notas dos alunos de uma turma no RELATÓRIO DE NOTAS";"Eduardo";18;"30/11/2012"
"BUG-6049";"Falha/erro";"OFF";"13/11/2012";"School (web)";"Falha ao logar como usuário do tipo ESCOLA";"Eduardo";18;"30/11/2012"
"BUG-6050";"Falha/erro";"OFF";"13/11/2012";"Monnae";"Erro no Saldo Real do Caixa";"Uiaciane";10;"23/11/2012"
"BUG-6051";"Falha/erro";"OFF";"13/11/2012";"Monnae";"Erro ao clonar um título a pagar";"Daiane Faé";10;"23/11/2012"
"BUG-6053";"Falha/erro";"OFF";"14/11/2012";"Facture-e";"PermiteExcluirOrdemProducao não verifica configurações";"Breno";29;"13/12/2012"
"BUG-6058";"Falha/erro";"OFF";"19/11/2012";"Facture-e";"Erro na geração do xml para o campo vCarga";"Diego";25;"13/12/2012"
"BUG-6062";"Falha/erro";"OFF";"19/11/2012";"School (web)";"Exibindo valor 0.0 no relatório de notas, quando deveria exibir vazio";"Eduardo";12;"30/11/2012"
"BUG-6063";"Falha/erro";"OFF";"19/11/2012";"Monnae";"Data Compensação Rel Contas Bancárias";"Leandro";28;"17/12/2012"
"BUG-6067";"Falha/erro";"OFF";"20/11/2012";"Monnae";"Erro no cancelamento da baixa";"Uiaciane";28;"17/12/2012"
"NEW-6071";"Nova funcionalidade";"OFF";"20/11/2012";"School (desktop)";"Relatório de distorção idade/série - School Desktop";"Eduardo";37;"27/12/2012"
"NEW-6072";"Nova funcionalidade";"VER";"20/11/2012";"School (web)";"Relatório de distorção idade/série - School Web";"Eduardo";148;
"BUG-6074";"Falha/erro";"OFF";"20/11/2012";"Monnae";"Barra de rolagem não funciona na visualização";"Diego";4;"23/11/2012"
"BUG-6075";"Falha/erro";"OFF";"20/11/2012";"School (desktop)";"Erro no ano base na finalização EJA";"Rogério Rezende";43;"02/01/2013"
"NEW-6078";"Nova funcionalidade";"OFF";"20/11/2012";"School (desktop)";"Tela / Relatório de matrículas efetuadas - School Desktop";"Eduardo";48;"07/01/2013"
"NEW-6079";"Nova funcionalidade";"OFF";"20/11/2012";"School (desktop)";"Relatório de lotação funcionário/professor - School Desktop";"Eduardo";37;"27/12/2012"
"NEW-6080";"Nova funcionalidade";"ADI";"20/11/2012";"School (web)";"Relatório de lotação funcionário/professor - School Web";"Eduardo";148;
"NEW-6081";"Nova funcionalidade";"REA";"20/11/2012";"School (web)";"Exibir calendário para professor no School Web";"Eduardo";148;
"CHG-6082";"Mudança";"OFF";"20/11/2012";"School (desktop)";"Timbre configurável";"Carlos Fim";28;"18/12/2012"
"NEW-6083";"Nova funcionalidade";"OFF";"20/11/2012";"Facture-e";"Criação do Plano de Contas Contábeis";"Breno";23;"13/12/2012"
"NEW-6084";"Nova funcionalidade";"OFF";"20/11/2012";"Facture-e";"Informação sobre a utilização do bem";"Breno";23;"13/12/2012"
"BUG-6086";"Falha/erro";"OFF";"21/11/2012";"School (desktop)";"Log de Ações (Certificado de Conclusão)";"Carlos Henrique";57;"16/01/2013"
"BUG-6087";"Falha/erro";"OFF";"21/11/2012";"Geagro";"Erro ao imprimir comprovante de entrega de talões";"Rogério Rezende";107;"07/03/2013"
"BUG-6088";"Falha/erro";"OFF";"21/11/2012";"Monnae";"Falha ao transferir dinheiro de um caixa para outro";"Diego";37;"27/12/2012"
"REF-6089";"Refatoração";"OFF";"21/11/2012";"Monnae";"Chamada da criação do recibo";"Leandro";80;"08/02/2013"
"BUG-6090";"Falha/erro";"OFF";"21/11/2012";"School (web)";"Erro na visualização do Boletim Escolar do Aluno avaliado por conceito";"Uiaciane";55;"15/01/2013"
"BUG-6092";"Falha/erro";"OFF";"22/11/2012";"Monnae";"Erro ao emitir um recibo";"Daiane Faé";35;"27/12/2012"
"CHG-6093";"Mudança";"ADI";"22/11/2012";"Monnae";"Ao incluir uma nova pessoa, puxar o nome escrito no campo localizar";"Daiane Faé";146;
"CHG-6094";"Mudança";"OFF";"22/11/2012";"School (desktop)";"Restaurar os modelos de histórico 02 e 03";"Diego";26;"18/12/2012"
"BUG-6095";"Falha/erro";"OFF";"22/11/2012";"Monnae";"Impressão de recibo para um título";"Leandro";36;"27/12/2012"
"CHG-6099";"Mudança";"ADI";"22/11/2012";"School (web)";"Mudar as consultas que envolverem retorno de dados da TABDISCIPLINA";"Eduardo";146;
"CHG-6103";"Mudança";"OFF";"23/11/2012";"Geagro";"Impressão do Resumo do Processo (Novos Campos)";"Carlos Henrique";105;"07/03/2013"
"CHG-6104";"Mudança";"ADI";"23/11/2012";"Sicopri";"Impressão do Resumo do Processo (Novos Campos)";"Carlos Henrique";145;
"BUG-6105";"Falha/erro";"OFF";"23/11/2012";"School (desktop)";"Falha na Impressão do Amparo Legal nos históricos";"Gabrielle";25;"18/12/2012"
"NEW-6108";"Nova funcionalidade";"ADI";"26/11/2012";"Geagro";"Novo Tipo de Processo: ""Alteração de Titularidade""";"Carlos Henrique";142;
